ENST00000000233	P84085
ENST00000000412	P20645
ENST00000005257	P11233
ENST00000005340	O14641
ENST00000006777	Q6NTF9-1
ENST00000007390	Q9UJK0
ENST00000007516	O14561
ENST00000009589	P60866-1
ENST00000011619	Q96S59-1
ENST00000011691	Q9UHA2
ENST00000012443	P53041
ENST00000016171	Q7KZN9-1
ENST00000022615	Q9Y277-1
ENST00000023939	A0A0A0MQR2
ENST00000029410	Q9UBV7
ENST00000037243	P60520
ENST00000053468	P82664
ENST00000053867	P28799-1
ENST00000054666	Q15836
ENST00000054950	Q15293-1
ENST00000064778	Q92567-1
ENST00000066544	P30260-1
ENST00000084795	J3QQ67
ENST00000085068	Q96AB3-2
ENST00000085079	Q9Y6I3-3
ENST00000156109	Q92917
ENST00000159111	A0A0C4DFL8
ENST00000162391	Q9P0K8-1
ENST00000163416	Q8TBA6-1
ENST00000164133	Q15173-1
ENST00000170168	Q8N1G1
ENST00000170447	Q9H000-1
ENST00000175091	Q15012
ENST00000184266	O95168-1
ENST00000185150	Q96DZ1-1
ENST00000186436	Q92545
ENST00000194118	Q14154
ENST00000196061	Q02809-1
ENST00000196551	P46782
ENST00000198767	Q9NYV6-1
ENST00000199320	Q9UNQ2
ENST00000199389	Q9BQI3-1
ENST00000199706	Q13084
ENST00000200639	P13473-1
ENST00000202834	Q96A57-1
ENST00000203630	Q15773
ENST00000204549	Q8N8D1
ENST00000204679	Q9UJJ9
ENST00000205402	P09622-1
ENST00000206020	O75391
ENST00000206380	Q96IK0
ENST00000206451	Q06323-1
ENST00000210060	P49366-1
ENST00000210313	Q16401-1
ENST00000214869	Q13445
ENST00000215115	Q8WUZ0-1
ENST00000215565	P17568
ENST00000215570	Q9Y5L4
ENST00000215574	P49427
ENST00000215730	O95721
ENST00000215754	P14174
ENST00000215829	P62318-1
ENST00000215832	P28482-1
ENST00000216029	Q9Y3M2
ENST00000216034	Q9NS69
ENST00000216038	Q9Y3I0
ENST00000216039	Q15040
ENST00000216044	O00178
ENST00000216160	Q15750-1
ENST00000216181	P35579-1
ENST00000216185	Q99757
ENST00000216190	O15371-1
ENST00000216218	P50502
ENST00000216225	P62877
ENST00000216252	Q7RTV0
ENST00000216259	Q92871
ENST00000216264	Q8TCT0-1
ENST00000216277	P51003-1
ENST00000216373	Q07890-1
ENST00000216452	Q14442
ENST00000216455	P25788-1
ENST00000216479	O95433-1
ENST00000216727	Q86U42-1
ENST00000216802	Q9UL46
ENST00000216832	Q9H307
ENST00000217131	Q9UBR2
ENST00000217402	Q9H444
ENST00000217426	P23526-1
ENST00000217652	P19105
ENST00000217893	Q16594
ENST00000217901	P51553-1
ENST00000217958	O75832-1
ENST00000217971	O00264-1
ENST00000218056	Q9H1Z4-1
ENST00000218348	P51784
ENST00000218364	O43719
ENST00000219139	Q9BSU1-1
ENST00000219204	Q9Y2Y0-1
ENST00000219252	P19387
ENST00000219281	Q9BQ65-1
ENST00000219313	P51665
ENST00000219345	Q8NCC3-1
ENST00000219548	Q9UNE7-1
ENST00000219782	P56270-2
ENST00000219789	O14735-1
ENST00000219794	O14874-1
ENST00000219797	Q9H7Z6-1
ENST00000220659	Q9HAW0-1
ENST00000220849	P60228
ENST00000220853	Q15006
ENST00000221114	O00399
ENST00000221138	P62714
ENST00000221200	Q7L273
ENST00000221265	Q8N7H5-1
ENST00000221418	Q13011
ENST00000221448	P08621-2
ENST00000221462	O75864-1
ENST00000221494	Q15428
ENST00000221561	Q08117-2
ENST00000221566	O43765
ENST00000221665	Q96SL8
ENST00000221801	P22087
ENST00000221859	P36954
ENST00000221922	Q9Y3X0
ENST00000221975	A0A075B6E2
ENST00000222005	Q16543
ENST00000222008	Q9UI14
ENST00000222190	A0A0A0MQS5
ENST00000222219	O00115-1
ENST00000222224	Q96BZ8
ENST00000222247	Q02543
ENST00000222284	Q9BVK8-1
ENST00000222305	Q15853-1
ENST00000222307	Q9BQD3
ENST00000222308	Q14318-1
ENST00000222330	P49840
ENST00000222673	Q02218-1
ENST00000222690	Q71UI9-2
ENST00000222969	P41223-1
ENST00000223023	O00401
ENST00000223127	O60568
ENST00000223136	Q9Y3D6
ENST00000223321	P25787
ENST00000223324	Q9BYC8
ENST00000223369	O15498-1
ENST00000223500	Q9NZZ3-1
ENST00000223641	P60468
ENST00000224073	O60869-1
ENST00000225298	Q9Y5J1
ENST00000225388	Q7Z417-1
ENST00000225430	P84098
ENST00000225504	P63272
ENST00000225525	O14907
ENST00000225603	P83916
ENST00000225655	P07737
ENST00000225665	Q02978-1
ENST00000225726	Q96A33-1
ENST00000225737	O43572
ENST00000225972	Q96AG4
ENST00000226225	Q13829-1
ENST00000226798	Q14331
ENST00000227524	Q9UMS4
ENST00000228140	J3KMX5
ENST00000228284	A0A499FI31
ENST00000228437	Q9UKN5
ENST00000228495	Q9H3F6-1
ENST00000228506	Q14165
ENST00000228515	Q9H175
ENST00000228825	O15145
ENST00000228827	Q9UHW5-1
ENST00000228872	P46527
ENST00000229238	Q4U2R6
ENST00000229239	P04406-1
ENST00000229281	Q99622
ENST00000229329	Q8NFW8-1
ENST00000229340	Q15286-1
ENST00000229379	P12074
ENST00000229390	Q13242
ENST00000229563	Q9P0S9
ENST00000229633	Q9NQE9
ENST00000229812	Q15208
ENST00000229854	A0A499FHX9
ENST00000230050	P25398
ENST00000230085	O60493-1
ENST00000230431	O43598-1
ENST00000230449	Q96KP1
ENST00000230461	Q9NV96-1
ENST00000230640	P42285
ENST00000230859	Q5XG87-1
ENST00000230895	P51397
ENST00000231238	Q99614
ENST00000231512	Q8NC54
ENST00000232125	F8W7Q4
ENST00000232496	O75896
ENST00000232888	O43818
ENST00000232905	O60739
ENST00000233055	Q8IWB7
ENST00000233084	Q92499-1
ENST00000233143	P63313
ENST00000233331	Q9C086
ENST00000233468	Q9Y3B4
ENST00000233557	Q9UHY1
ENST00000233575	Q15036-1
ENST00000233609	A0A0B4J2B4
ENST00000233893	P61604
ENST00000234160	Q9H8Y8-1
ENST00000234170	Q03701
ENST00000234301	O14548
ENST00000234590	P06733-1
ENST00000234677	P49591
ENST00000234831	Q9BXS4
ENST00000234875	P35268
ENST00000235329	O95140-1
ENST00000235332	Q5JXC2-1
ENST00000235835	O43488
ENST00000236051	Q99848
ENST00000236067	Q99437-2
ENST00000236273	O95926-1
ENST00000236671	P07339
ENST00000236957	P24534
ENST00000237380	Q9H204
ENST00000237500	O14950
ENST00000237530	P04844-1
ENST00000237654	Q14094-1
ENST00000237889	O43676
ENST00000238081	P27348
ENST00000238633	J3KMY5
ENST00000238647	Q9H1B7
ENST00000238823	Q8NCA5
ENST00000239231	Q9H999
ENST00000239666	Q5EBL8-1
ENST00000239878	P61960-1
ENST00000239906	Q9NYF3
ENST00000239944	Q9Y6X1
ENST00000240055	P25208
ENST00000240079	Q9Y3C0
ENST00000240185	Q13148-1
ENST00000240304	O95232-1
ENST00000240851	Q92734-1
ENST00000241600	Q9Y399
ENST00000241704	P53621-1
ENST00000242577	P63167
ENST00000242719	Q9Y3C5
ENST00000242776	O00148-1
ENST00000242784	Q9BQ61
ENST00000243325	A0A1B0GUI0
ENST00000243563	P09012
ENST00000243918	Q8N2H4-1
ENST00000243997	P56381
ENST00000244007	P19174-2
ENST00000244020	Q13247-1
ENST00000244061	Q9Y508-1
ENST00000244230	O00566
ENST00000244496	Q96EU6-1
ENST00000244520	P09234
ENST00000244711	Q16626
ENST00000245046	Q9P0I2-1
ENST00000245458	P62273-1
ENST00000245539	Q9Y2R9
ENST00000245812	Q9BT30
ENST00000245816	Q16740
ENST00000245857	J3KTJ3
ENST00000246024	Q9H1E5
ENST00000246117	Q969V3-1
ENST00000246151	Q9GZP4-1
ENST00000246194	Q9UKM9-1
ENST00000246337	P06132
ENST00000246548	Q9UBT2-1
ENST00000246747	P36404-1
ENST00000246802	Q9NZM5
ENST00000246868	Q9Y3A5
ENST00000247003	Q9Y6V7-1
ENST00000247026	Q9H0G5
ENST00000247161	P19419-1
ENST00000247655	P15954
ENST00000247866	O95178
ENST00000247930	Q9ULD5
ENST00000247970	Q13526
ENST00000248342	Q9UBQ5-1
ENST00000248378	Q9BV81
ENST00000248450	Q13685
ENST00000248451	Q8N490-2
ENST00000248566	P60896-1
