REC00009	mog
REC00014	dnaK
REC06565	
REC04295	rpsT
REC00025	ribF
REC06566	ileS
REC00027	lspA
REC00029	ispH*
REC00031	dapB
REC00048	folA
REC04307	imp
REC04308	rluA
REC00082	mraW
REC00083	ftsL
REC00084	ftsI
REC00085	murE
REC00088	murD
REC00089	ftsW
REC00090	murG
REC00091	murC
REC00092	ddlB
REC00093	ftsQ
REC00094	ftsA
REC00095	ftsZ
REC00097	secM
REC00098	secA
REC04326	coaE
REC00115	aceF
REC00116	lpdA
REC04336	yacC
REC04338	yadF
REC00129	yadI
REC04349	folK
REC04355	hemL
REC04358	mtn
REC04362	dapD
REC04363	glnD
REC04364	map
REC00169	rpsB
REC00170	tsf
REC00171	pyrH
REC00172	frr
REC00173	dxr
REC00174	uppS
REC00175	cdsA
REC00177	yaeT
REC00180	fabZ
REC00181	lpxA
REC00182	lpxB
REC00183	rnhB
REC00184	dnaE
REC00185	accA
REC00188	mesJ
REC04367	proS
REC00204	yafE
REC04376	rnhA
REC00209	dnaQ
REC04386	ykfI
REC04399	
REC00261	yagG
REC00262	yagH
REC04411	yagS
REC04413	yagV
REC06629	insE1
REC00304	yahF
REC00306	yahH
REC00324	cynS
REC04440	yaiN
REC04445	yaiS
REC04446	hemB
REC06644	insE5
REC04451	yaiY
REC04453	proC
REC00392	secD
REC00393	secF
REC00398	ribD
REC00399	ribH
REC00400	nusB
REC00401	thiL
REC00402	pgpA
REC04462	dxs
REC04463	ispA
REC04469	cyoD
REC00426	ybaV
REC00439	ybaA
REC04487	priC
REC00451	ybaN
REC00452	apt
REC00453	dnaX
REC00457	adk
REC00458	hemH
REC04492	ybaP
REC00466	ybaQ
REC00481	ybbC
REC00488	allA
REC00503	ylbF
REC00504	arcC
REC04507	lpxH
REC04508	ppiB
REC00509	cysS
REC00282	insE3
REC00529	ybcN
REC00531	ybcO
REC00532	rusA
REC04518	ybcV
REC00545	appY
REC04537	fepB
REC04554	crcB
REC04561	mrdB
REC04562	mrdA
REC04563	ybeA
REC04567	holA
REC04568	rlpB
