Ensembl ID	Gene
ENSMUST00000007921	0610009B22Rik
ENSMUST00000077783	0610030E20Rik
ENSMUST00000192144	0610030E20Rik
ENSMUST00000125107	0610037L13Rik
ENSMUST00000106727	0610037L13Rik
ENSMUST00000053981	1110012L19Rik
ENSMUST00000071792	1110038F14Rik
ENSMUST00000038830	1110059E24Rik
ENSMUST00000118422	1110059G10Rik
ENSMUST00000035154	1110059G10Rik
ENSMUST00000100850	1500011B03Rik
ENSMUST00000052691	1600012H06Rik
ENSMUST00000164837	1600012H06Rik
ENSMUST00000064853	1700030K09Rik
ENSMUST00000038539	1700123O20Rik
ENSMUST00000096251	1810009A15Rik
ENSMUST00000023150	1810013L24Rik
ENSMUST00000060108	1810030O07Rik
ENSMUST00000031538	2210016L21Rik
ENSMUST00000168779	2210408I21Rik
ENSMUST00000020341	2310011J03Rik
ENSMUST00000034464	2310022B05Rik
ENSMUST00000020719	2310033P09Rik
ENSMUST00000049138	2410131K14Rik
ENSMUST00000185219	2610001J05Rik
ENSMUST00000155856	2610001J05Rik
ENSMUST00000120722	2610002M06Rik
ENSMUST00000010421	2610507B11Rik
ENSMUST00000034465	2810004N23Rik
ENSMUST00000077376	2810006K23Rik
ENSMUST00000026092	3110040N11Rik
ENSMUST00000163392	3830406C13Rik
ENSMUST00000026519	4833420G17Rik
ENSMUST00000153065	4833439L19Rik
ENSMUST00000076991	4930453N24Rik
ENSMUST00000022786	4931414P19Rik
ENSMUST00000068798	4933434E20Rik
ENSMUST00000029551	4933434E20Rik
ENSMUST00000160640	4933434E20Rik
ENSMUST00000162114	4933434E20Rik
ENSMUST00000103225	5730455P16Rik
ENSMUST00000057256	6030458C11Rik
ENSMUST00000100655	9130401M01Rik
ENSMUST00000175726	9930021J03Rik
ENSMUST00000175764	9930021J03Rik
ENSMUST00000058393	A430005L14Rik
ENSMUST00000041551	Aagab
ENSMUST00000089519	Aak1
ENSMUST00000178235	Aamp
ENSMUST00000006462	Aamp
ENSMUST00000109570	Aar2
ENSMUST00000034441	Aars
ENSMUST00000024733	Aars2
ENSMUST00000070395	Aarsd1
ENSMUST00000051589	Aasdhppt
ENSMUST00000018841	Aatf
ENSMUST00000027396	Abcb6
ENSMUST00000033695	Abcb7
ENSMUST00000021666	Abcd4
ENSMUST00000080536	Abce1
ENSMUST00000043757	Abcf1
ENSMUST00000030795	Abcf2
ENSMUST00000003319	Abcf3
ENSMUST00000066983	Abhd10
ENSMUST00000154469	Abhd11
ENSMUST00000111216	Abhd11
ENSMUST00000007251	Abhd16a
ENSMUST00000117085	Abhd17c
ENSMUST00000028190	Abl1
ENSMUST00000166172	Abl2
ENSMUST00000032169	Abtb1
ENSMUST00000060513	Acad8
ENSMUST00000011492	Acad9
ENSMUST00000058033	Acap2
ENSMUST00000027780	Acbd3
ENSMUST00000080138	Acbd6
ENSMUST00000035560	Acbd6
ENSMUST00000097529	Acbd6
ENSMUST00000042608	Acd
ENSMUST00000033020	Acer3
ENSMUST00000138321	Acin1
ENSMUST00000102973	Aco1
ENSMUST00000103094	Acot8
ENSMUST00000090759	Acp6
ENSMUST00000029214	Actl6a
ENSMUST00000021479	Actr10
ENSMUST00000040270	Actr1a
ENSMUST00000043951	Actr1b
ENSMUST00000000137	Actr2
ENSMUST00000020109	Actr6
ENSMUST00000016115	Actr8
ENSMUST00000019944	Adat2
ENSMUST00000005964	Adh5
ENSMUST00000032272	Adipor2
ENSMUST00000045376	Adk
ENSMUST00000066743	Adnp2
ENSMUST00000002923	Adprh
ENSMUST00000102617	Adprhl2
ENSMUST00000116363	Adprm
ENSMUST00000061437	Adrm1
ENSMUST00000164806	Adsl
ENSMUST00000023043	Adsl
ENSMUST00000161335	Aebp2
ENSMUST00000032359	Aebp2
ENSMUST00000107421	Aen
ENSMUST00000001520	Afg3l1
ENSMUST00000024123	Agap3
ENSMUST00000197513	Agap3
ENSMUST00000022189	Aggf1
ENSMUST00000040603	Agl
ENSMUST00000044113	Ago2
ENSMUST00000033847	Agpat5
ENSMUST00000149565	Agpat5
ENSMUST00000047232	Agps
ENSMUST00000140489	Ahctf1
ENSMUST00000027768	Ahctf1
ENSMUST00000021425	Ahsa1
ENSMUST00000010434	AI597479
ENSMUST00000193625	Aida
ENSMUST00000109166	Aida
ENSMUST00000029663	Aimp1
ENSMUST00000031613	Aimp2
ENSMUST00000117831	Aip
ENSMUST00000180758	Aip
ENSMUST00000181243	Aip
ENSMUST00000025767	Aip
ENSMUST00000102604	Ak2
ENSMUST00000030583	Ak2
ENSMUST00000125587	Ak3
ENSMUST00000025696	Ak3
ENSMUST00000022593	Akap11
ENSMUST00000123853	Akap11
ENSMUST00000002699	Akap8
ENSMUST00000050214	Akap8l
ENSMUST00000102636	Akirin1
ENSMUST00000084299	Akirin2
ENSMUST00000001780	Akt1
ENSMUST00000111160	Akt3
ENSMUST00000209963	Aldh16a1
ENSMUST00000039818	Aldh4a1
ENSMUST00000028004	Aldh9a1
ENSMUST00000070801	Alg13
ENSMUST00000044148	Alg2
ENSMUST00000045918	Alg3
ENSMUST00000044567	Alg5
ENSMUST00000097961	Alg6
ENSMUST00000041100	Alkbh4
ENSMUST00000044250	Alkbh5
ENSMUST00000026125	Alyref
ENSMUST00000053766	Amfr
ENSMUST00000103061	Amz2
ENSMUST00000092500	Amz2
ENSMUST00000014499	Anapc1
ENSMUST00000026128	Anapc11
ENSMUST00000093140	Anapc11
ENSMUST00000020307	Anapc16
ENSMUST00000182898	Anapc16
ENSMUST00000028341	Anapc2
ENSMUST00000086216	Anapc5
ENSMUST00000200645	Anapc5
ENSMUST00000199406	Anapc5
ENSMUST00000031422	Anapc7
ENSMUST00000155998	Ankfy1
ENSMUST00000043551	Ankib1
ENSMUST00000031474	Ankle2
ENSMUST00000041640	Ankmy2
ENSMUST00000169782	Ankrd10
ENSMUST00000040787	Ankrd13c
ENSMUST00000081914	Ankrd17
ENSMUST00000014421	Ankrd17
ENSMUST00000107818	Ankrd40
ENSMUST00000014642	Ankrd52
ENSMUST00000040676	Ankrd54
ENSMUST00000139173	Anks1
ENSMUST00000114842	Anks1
ENSMUST00000023157	Anks3
ENSMUST00000152233	Ankzf1
ENSMUST00000135395	Anp32a
ENSMUST00000085519	Anp32a
ENSMUST00000128636	Anp32a
ENSMUST00000156461	Anp32a
ENSMUST00000102926	Anp32b
ENSMUST00000015893	Anp32e
ENSMUST00000165307	Anp32e
ENSMUST00000093157	Ap1g1
ENSMUST00000003117	Ap1m1
ENSMUST00000018875	Ap2b1
ENSMUST00000090023	Ap2m1
ENSMUST00000007216	Ap2m1
ENSMUST00000022196	Ap3b1
ENSMUST00000020420	Ap3d1
ENSMUST00000154460	Ap3m1
ENSMUST00000075657	Ap3s2
ENSMUST00000002063	Ap4e1
ENSMUST00000019662	Ap4m1
ENSMUST00000021338	Ap4s1
ENSMUST00000037473	Ap5m1
ENSMUST00000057798	Apba3
ENSMUST00000193254	Apeh
ENSMUST00000015894	Aph1a
ENSMUST00000056710	Aph1a
ENSMUST00000028617	Api5
ENSMUST00000011055	Apip
ENSMUST00000046399	Apmap
ENSMUST00000040519	Apopt1
ENSMUST00000162316	Apopt1
ENSMUST00000018625	Appbp2
ENSMUST00000036570	Appl1
ENSMUST00000043160	Aqr
ENSMUST00000001155	Araf
ENSMUST00000034607	Arcn1
ENSMUST00000061242	Arf1
ENSMUST00000112318	Arf4
ENSMUST00000022429	Arf4
ENSMUST00000029092	Arfgap1
ENSMUST00000080008	Arfgap2
ENSMUST00000028691	Arfgap2
ENSMUST00000067215	Arfgap3
ENSMUST00000088615	Arfgef1
ENSMUST00000099078	Arfgef2
ENSMUST00000098990	Arfip1
ENSMUST00000127988	Arfrp1
ENSMUST00000108808	Arfrp1
ENSMUST00000090614	Arhgap1
ENSMUST00000115799	Arid1b
ENSMUST00000096250	Arid2
ENSMUST00000171975	Arih1
ENSMUST00000013338	Arih2
ENSMUST00000116234	Arl1
ENSMUST00000028536	Arl14ep
ENSMUST00000026009	Arl3
ENSMUST00000032888	Arl6ip1
ENSMUST00000031351	Arl6ip4
ENSMUST00000032196	Arl8b
ENSMUST00000029125	Armc1
ENSMUST00000086884	Armcx3
ENSMUST00000081834	Armcx3
ENSMUST00000096321	Armcx5
ENSMUST00000090804	Arnt
ENSMUST00000113820	Arpc2
ENSMUST00000006467	Arpc2
ENSMUST00000077755	Arpc5
ENSMUST00000170308	Arpp19
ENSMUST00000002989	Arrdc2
ENSMUST00000165199	Arsa
ENSMUST00000034463	Arv1
ENSMUST00000177083	Asap1
ENSMUST00000177371	Asap1
ENSMUST00000143400	Asb8
ENSMUST00000070257	Ascc2
ENSMUST00000109930	Ascc2
ENSMUST00000035606	Ascc3
ENSMUST00000020004	Asf1a
ENSMUST00000166078	Ash2l
ENSMUST00000064314	Asna1
ENSMUST00000027264	Asnsd1
ENSMUST00000109790	Asxl1
ENSMUST00000111215	Asxl2
ENSMUST00000092003	Asxl2
ENSMUST00000070210	Atad1
ENSMUST00000030903	Atad3a
ENSMUST00000023769	Atf1
ENSMUST00000027974	Atf6
ENSMUST00000015605	Atf6b
ENSMUST00000032335	Atf7ip
ENSMUST00000048393	Atg101
ENSMUST00000035648	Atg12
ENSMUST00000076803	Atg13
ENSMUST00000042988	Atg14
ENSMUST00000113186	Atg16l1
ENSMUST00000120267	Atg16l2
ENSMUST00000201269	Atg2a
ENSMUST00000145600	Atg2a
ENSMUST00000202877	Atg2a
ENSMUST00000041055	Atg2b
ENSMUST00000023343	Atg3
ENSMUST00000112971	Atg4a
ENSMUST00000027502	Atg4b
ENSMUST00000065005	Atg4d
ENSMUST00000039286	Atg5
ENSMUST00000032457	Atg7
ENSMUST00000040689	Atg9a
ENSMUST00000189820	Atg9a
ENSMUST00000027384	Atic
ENSMUST00000025668	Atl3
ENSMUST00000109099	Atmin
ENSMUST00000034326	Atp13a1
ENSMUST00000034983	Atp1b3
ENSMUST00000114897	Atp5c1
ENSMUST00000107684	Atp5g1
ENSMUST00000090541	Atp5g1
ENSMUST00000111996	Atp5g3
ENSMUST00000018914	Atp5g3
ENSMUST00000023608	Atp5j
ENSMUST00000033313	Atp6ap2
ENSMUST00000015719	Atp6v0e
ENSMUST00000167352	Atp6v0e
ENSMUST00000021536	Atp6v1d
ENSMUST00000044369	Atp6v1h
ENSMUST00000192698	Atp6v1h
ENSMUST00000091790	Atp9b
ENSMUST00000176192	Atpaf1
ENSMUST00000176047	Atpaf1
ENSMUST00000034980	Atr
ENSMUST00000163242	Atxn10
ENSMUST00000093162	Atxn1l
ENSMUST00000162327	Atxn2
ENSMUST00000161064	Atxn2
ENSMUST00000167759	Atxn2l
ENSMUST00000040202	Atxn2l
ENSMUST00000206577	Atxn2l
ENSMUST00000021606	Atxn3
ENSMUST00000110824	Atxn7l1
ENSMUST00000125192	Atxn7l1
ENSMUST00000141112	AU022252
ENSMUST00000047431	AU040320
ENSMUST00000110031	Auh
ENSMUST00000119311	Auh
ENSMUST00000003705	Aven
ENSMUST00000031805	Avl9
ENSMUST00000178289	AW209491
ENSMUST00000046633	AW549877
ENSMUST00000074370	Axin1
ENSMUST00000134433	Azi2
ENSMUST00000044454	Azi2
ENSMUST00000057844	B230219D22Rik
ENSMUST00000067399	B3gntl1
ENSMUST00000064701	B4galt7
ENSMUST00000205658	B9d2
ENSMUST00000002473	Babam1
ENSMUST00000113423	Bad
ENSMUST00000141410	Bad
ENSMUST00000025910	Bad
ENSMUST00000030125	Bag1
ENSMUST00000038498	Bag4
ENSMUST00000054636	Bag5
ENSMUST00000025250	Bag6
ENSMUST00000173550	Bag6
ENSMUST00000025762	Banf1
ENSMUST00000022458	Bap1
ENSMUST00000002825	Baz1b
ENSMUST00000045621	Baz2a
ENSMUST00000170054	Baz2a
ENSMUST00000112550	Baz2b
ENSMUST00000135402	Bbip1
ENSMUST00000053506	Bbs1
ENSMUST00000026265	Bbs4
ENSMUST00000138166	Bbx
ENSMUST00000088307	BC003965
ENSMUST00000149405	BC004004
ENSMUST00000120346	BC004004
ENSMUST00000028205	BC005624
ENSMUST00000108379	BC024978
ENSMUST00000123108	BC024978
ENSMUST00000124586	BC029722
ENSMUST00000040284	BC031181
ENSMUST00000177962	Bcap29
ENSMUST00000002091	Bcap31
ENSMUST00000154396	Bcas3
ENSMUST00000033282	Bccip
ENSMUST00000040313	Bcdin3d
ENSMUST00000124533	Bckdk
ENSMUST00000071056	Bckdk
ENSMUST00000009256	Bcl2l13
ENSMUST00000031692	Bcl7b
ENSMUST00000113733	Bcs1l
ENSMUST00000026557	Bet1l
ENSMUST00000023365	Bfar
ENSMUST00000021197	Blmh
ENSMUST00000026405	Bloc1s1
ENSMUST00000079033	Bloc1s2
ENSMUST00000077408	Bloc1s3
ENSMUST00000035899	Bloc1s5
ENSMUST00000027866	Blzf1
ENSMUST00000120447	Blzf1
ENSMUST00000028071	Bmi1
ENSMUST00000022634	Bnip3l
ENSMUST00000058060	Bod1
ENSMUST00000023217	Bop1
ENSMUST00000074912	Borcs7
ENSMUST00000040656	Bphl
ENSMUST00000027916	Bpnt1
ENSMUST00000208369	Bptf
ENSMUST00000057892	Bptf
ENSMUST00000002487	Braf
ENSMUST00000031414	Brap
ENSMUST00000114074	Brcc3
ENSMUST00000033544	Brcc3
ENSMUST00000109381	Brd1
ENSMUST00000151986	Brd2
ENSMUST00000095347	Brd2
ENSMUST00000077737	Brd3
ENSMUST00000121285	Brd4
ENSMUST00000120276	Brd4
ENSMUST00000034085	Brd7
ENSMUST00000099384	Brd9
ENSMUST00000011302	Brf1
ENSMUST00000022855	Brix1
ENSMUST00000035725	Brk1
ENSMUST00000116567	Brms1
ENSMUST00000059250	Brms1l
ENSMUST00000048162	Bsdc1
ENSMUST00000099494	Btaf1
ENSMUST00000026093	Btbd1
ENSMUST00000126980	Btbd2
ENSMUST00000168787	Btbd9
ENSMUST00000090147	Btd
ENSMUST00000152704	Btf3
ENSMUST00000102740	Btf3l4
ENSMUST00000102742	Btf3l4
ENSMUST00000207442	Bub3
ENSMUST00000084502	Bub3
ENSMUST00000160075	Bud31
ENSMUST00000162594	Bud31
ENSMUST00000024783	Bysl
ENSMUST00000050552	Bzw1
