DEG ID	Gene Name
DEG20010001	TFC3
DEG20010002	EFB1
DEG20010003	MAK16
DEG20010004	PRP45
DEG20010005	POP5
DEG20010006	MTW1
DEG20010007	CDC19
DEG20010008	CDC24
DEG20010009	PTA1
DEG20010010	RFA1
DEG20010011	SEN34
DEG20010012	CDC15
DEG20010013	HTA2
DEG20010014	UTP20
DEG20010015	RRN6
DEG20010016	POP8
DEG20010017	RFT1
DEG20010018	MCM2
DEG20010019	LSM2
DEG20010020	PET9
DEG20010021	STU1
DEG20010022	POL12
DEG20010023	ERD2
DEG20010024	PRE7
DEG20010025	SEC17
DEG20010026	AAR2
DEG20010027	ILS1
DEG20010028	CDC27
DEG20010029	RPL32
DEG20010030	BRN1
DEG20010031	SFT2
DEG20010032	PKC1
DEG20010033	RER2
DEG20010034	GPI18
DEG20010035	HHF1
DEG20010036	IPP1
DEG20010037	SCO2
DEG20010038	CDS1
DEG20010039	CHS2
DEG20010040	REB1
DEG20010041	PRP6
DEG20010042	TSC3
DEG20010043	ORC2
DEG20010044	ALG14
DEG20010045	RPG1
DEG20010046	SEC18
DEG20010047	RFC5
DEG20010048	POL30
DEG20010049	TIM12/MRS5
DEG20010050	EXO84
DEG20010051	CMD1
DEG20010052	ALG1
DEG20010053	GRS1
DEG20010054	TFC1
DEG20010055	CKS1
DEG20010056	MEC1
DEG20010057	IRA1
DEG20010058	MAK5
DEG20010059	SUP45
DEG20010060	SPP381
DEG20010061	RIB7
DEG20010062	RPB5
DEG20010063	CNS1
DEG20010064	AMN1
DEG20010065	CDC28
DEG20010066	POP7
DEG20010067	RIM2
DEG20010068	MED8
DEG20010069	PGI1
DEG20010070	TAF5
DEG20010071	MCM7
DEG20010072	AME1
DEG20010073	DAD3
DEG20010074	ARC40
DEG20010075	ABD1
DEG20010076	PRP5
DEG20010077	ALG7
DEG20010078	ENP1
DEG20010079	DUT1
DEG20010080	SRB6
DEG20010081	TRS20
DEG20010082	RIB5
DEG20010083	POP4
DEG20010084	TSC10
DEG20010085	PGS1
DEG20010086	NFS1
DEG20010087	RRP7
DEG20010088	PDI1
DEG20010089	PBN1
DEG20010090	SPB1
DEG20010091	KRR1
DEG20010092	HMLALPHA2
DEG20010093	PGK1
DEG20010094	RRP43
DEG20010095	MATALPHA2
DEG20010096	RSC6
DEG20010097	CTR86
DEG20010098	PWP2
DEG20010099	RSA4
DEG20010100	CDC39
DEG20010101	HMRA2
DEG20010102	MCD1
DEG20010103	ATP16
DEG20010104	RPT2
DEG20010105	APC11
DEG20010106	SLX5
DEG20010107	NOP1
DEG20010108	TSC13
DEG20010109	CDC7
DEG20010110	MPS1
DEG20010111	ARP2
DEG20010112	PRP9
DEG20010113	DBP10
DEG20010114	PRP11
DEG20010115	FAD1
DEG20010116	PSA1
DEG20010117	USO1
DEG20010118	TSR1
DEG20010119	UBC9
DEG20010120	COX9
DEG20010121	SUB2
DEG20010122	LUC7
DEG20010123	SRP14
DEG20010124	RPN6
DEG20010125	SNU23
DEG20010126	POL3
DEG20010127	QRI1
DEG20010128	NSE4
DEG20010129	KIN28
DEG20010130	RRP42
DEG20010131	YFH1
DEG20010132	CDC48
DEG20010133	CDC53
DEG20010134	SCM3
DEG20010135	RPO21
DEG20010136	BPL1
DEG20010137	CCT4
DEG20010138	COP1
DEG20010139	RPN5
DEG20010140	NOP14
DEG20010141	RPC53
DEG20010142	SAS10
DEG20010143	CLB3
DEG20010144	CDC9
DEG20010145	CDC36
DEG20010146	FAP7
DEG20010147	NUS1
DEG20010148	SEC31
DEG20010149	HEM3
DEG20010150	GLE1
DEG20010151	NHP2
DEG20010152	CWC2
DEG20010153	SHR3
DEG20010154	TIM22
DEG20010155	CDC13
DEG20010156	YPD1
DEG20010157	YRB1
DEG20010158	PSF1
DEG20010159	DAD1
DEG20010160	FAL1
DEG20010161	SES1
DEG20010162	KRS1
DEG20010163	RSM10
DEG20010164	HEM13
DEG20010165	RPC11
DEG20010166	HEM12
DEG20010167	TPI1
DEG20010168	DBF4
DEG20010169	CDC34
DEG20010170	MAK21
DEG20010171	LCB2
DEG20010172	RPS13
DEG20010173	PDC2
DEG20010174	STN1
DEG20010175	SSS1
DEG20010176	RRP1
DEG20010177	SLU7
DEG20010178	RLI1
DEG20010179	PDS1
DEG20010180	APC4
DEG20010181	INO2
DEG20010182	DOP1
DEG20010183	TAF12
DEG20010184	CTH1
DEG20010185	SSY1
DEG20010186	SEC1
DEG20010187	SEC5
DEG20010188	TAF10
DEG20010189	CDC37
DEG20010190	SEC7
DEG20010191	SUP35
DEG20010192	UBC1
DEG20010193	SCC2
DEG20010194	CDC1
DEG20010195	CCT6
DEG20010196	SLY1
DEG20010197	RVB1
DEG20010198	CAB5
DEG20010199	SPC19
DEG20010200	MSS4
DEG20010201	GCD6
DEG20010202	TCP1
DEG20010203	HTB1
DEG20010204	PCF11
DEG20010205	COX20
DEG20010206	HEM1
DEG20010207	RTN1
DEG20010208	PRP42
DEG20010209	FMN1
DEG20010210	SEC26
DEG20010211	SNU56
DEG20010212	PRP28
DEG20010213	TRS23
DEG20010214	CIA1
DEG20010215	RRP45
DEG20010216	NSE3
DEG20010217	SRP101
DEG20010218	BFR2
DEG20010219	CFT1
DEG20010220	GPI11
DEG20010221	RSC3
DEG20010222	SRB7
DEG20010223	TFB1
DEG20010224	UTP4
DEG20010225	YCG1
DEG20010226	SKP1
DEG20010227	GPI8
DEG20010228	FCF1
DEG20010229	YDR341C
DEG20010230	TRR1
DEG20010231	SPC110
DEG20010232	BCP1
DEG20010233	TFC6
DEG20010234	ESF1
DEG20010235	KEI1
DEG20010236	FRQ1
DEG20010237	ARH1
DEG20010238	YRA1
DEG20010239	SAC7
DEG20010240	UBA2
DEG20010241	RPT3
DEG20010242	NCB2
DEG20010243	UTP5
DEG20010244	RPB7
DEG20010245	TRS120
DEG20010246	RRP17
