gene_name	uniprot_id	length	Hk
yohP	C1P609	27	0
frdA	P00363	602	0
glgB	P07762	728	0
motA	P09348	295	1
grpE	P09372	197	1
htpG	P0A6Z3	624	0
infC	P0A707	180	1
mntH	P0A769	412	0
plsB	P0A7A7	807	0
rplA	P0A7L0	234	0
yaeP	P0A8K5	66	0
slyX	P0A8R4	72	0
hdfR	P0A8R9	279	0
ompW	P0A915	212	0
rimI	P0A944	148	1
cadA	P0A9H3	715	0
napD	P0A9I5	87	0
gpt	P0A9M5	152	0
ptsO	P0A9N0	90	0
adhE	P0A9Q7	891	0
znuC	P0A9X1	251	0
rluA	P0AA37	219	1
mdlB	P0AAG5	593	0
hybG	P0AAM7	82	1
fbaA	P0AB71	359	1
fliG	P0ABZ1	331	0
gnsA	P0AC92	57	0
pheL	P0AD72	15	0
fabY	P0ADQ2	329	0
yhbW	P0ADV5	335	0
cpxA	P0AE82	457	0
dppB	P0AEF8	339	0
mdaB	P0AEY5	193	0
lsrD	P0AFS1	330	0
insC6	P0CF45	121	0
ytiD	P0DPC5	47	0
yacM	P0DPM6	14	0
yqgG	P0DSG2	47	0
ykiE	P0DSH9	22	0
ykfO	P0DUW0	10	0
fes	P13039	400	0
entA	P15047	248	0
phnD	P16682	338	0
phnP	P16692	252	0
pdxA	P19624	329	0
speC	P21169	711	0
fadB	P21177	729	0
yciC	P21365	247	0
ycbB	P22525	615	0
livM	P22729	425	0
ygiD	P24197	271	0
mfd	P30958	1148	0
eamA	P31125	299	0
ydeE	P31126	395	1
frvX	P32153	356	0
torA	P33225	848	0
ydcF	P34209	266	0
cbpA	P36659	306	0
lhgD	P37339	422	0
yhiS	P37635	260	0
yjfF	P37772	331	0
ychO	P39165	464	0
bsmA	P39297	109	0
bdcR	P39334	197	1
sgcR	P39361	260	0
alx	P42601	321	0
agaD	P42911	263	0
lpoA	P45464	678	0
frmB	P51025	277	0
fliJ	P52613	147	1
rplB	P60422	273	1
ybjL	P60869	561	0
uppP	P60932	273	0
ilvL	P62522	32	0
treF	P62601	549	0
baeR	P69228	240	0
lpp	P69776	78	0
yafX	P75676	152	0
rlmL	P75864	702	0
flgF	P75938	251	0
ycgI	P76000	147	0
paaB	P76078	95	0
ydhF	P76187	298	0
ynhG	P76193	334	0
ynjF	P76226	206	0
yeaX	P76254	321	0
yedP	P76329	271	0
preT	P76440	412	0
yfbL	P76482	323	0
eutP	P76556	159	0
yfgI	P76573	179	0
ygaZ	P76630	245	0
mhpC	P77044	288	0
ybdM	P77174	209	0
yfcU	P77196	881	0
paaG	P77467	262	0
ddpF	P77622	308	0
ygcU	Q46911	484	0
lfhA	Q47153	579	0
mmuP	Q47689	467	0
ymgJ	A5A612	61	0
gnd	P00350	468	0
fliC	P04949	498	0
mutM	P05523	269	0
hisP	P07109	257	0
fimH	P08191	300	0
nirB	P08201	847	0
leuA	P09151	523	0
argT	P09551	260	0
citX	P0A6G5	183	0
dsbB	P0A6M2	176	0
pgi	P0A6T1	549	0
greA	P0A6W5	158	0
lpxC	P0A725	305	0
speD	P0A7F6	264	0
rpsL	P0A7S3	124	1
tolB	P0A855	430	0
soxS	P0A9E2	107	0
mntR	P0A9F1	155	1
ecpA	P0AAA3	195	0
atpB	P0AB98	271	0
pcnB	P0ABF1	465	0
wecA	P0AC78	367	0
yihL	P0ACM9	236	0
purR	P0ACP7	341	0
yejM	P0AD27	586	0
yfcA	P0AD30	269	0
ygaM	P0ADQ7	109	0
ygiC	P0ADT5	386	0
dapE	P0AED7	375	1
dcrB	P0AEE1	185	0
modB	P0AF01	229	0
yjbR	P0AF50	118	0
nusG	P0AFG0	181	0
rpoE	P0AGB6	191	0
csdE	P0AGF2	147	1
sapC	P0AGH5	296	0
insC5	P0CF44	121	0
insL1	P0CF91	370	0
ysdD	P0DPP8	26	0
yadX	P0DSE3	15	0
mgtT	P0DSF3	34	0
ytiE	P0DV22	11	0
phnJ	P16688	281	0
phnM	P16689	378	0
gltP	P21345	437	0
cysN	P23845	475	0
argE	P23908	383	0
araJ	P23910	394	0
recG	P24230	693	0
rpoN	P24255	477	1
tehA	P25396	330	0
metE	P25665	753	0
lysP	P25737	489	0
metQ	P28635	271	0
nrdD	P28903	712	0
ydeI	P31130	130	0
yidR	P31455	415	0
nfrA	P31600	990	0
yciK	P31808	252	1
rhaB	P32171	489	0
mobA	P32173	194	0
acnB	P36683	865	0
panZ	P37613	127	0
bcsQ	P37655	242	0
yjeM	P39282	500	0
ytfF	P39314	321	0
yjgM	P39337	167	0
yjiN	P39385	426	0
yjjV	P39408	259	1
ttdT	P39414	487	0
sprT	P39902	165	0
yhbO	P45470	172	0
ais	P45565	200	0
ybjC	P46119	95	1
aaeB	P46481	655	0
yhhX	P46853	345	0
pphA	P55798	218	0
yjjZ	P55914	78	0
rplE	P62399	179	0
yceO	P64442	46	0
yfcL	P64540	92	0
apt	P69503	183	1
chbB	P69795	106	1
ulaC	P69820	154	0
yagM	P71296	284	0
yafS	P75672	240	0
yahK	P75691	349	0
ybbV	P75711	92	0
hcp	P75825	550	0
ycaM	P75835	476	0
flgE	P75937	402	0
comR	P75952	210	0
quuQ	P76161	250	0
yedK	P76318	222	0
yffM	P76544	81	1
hldE	P76658	477	0
glxR	P77161	292	0
ecpB	P77188	222	0
alaC	P77434	412	0
yncL	A5A615	31	0
dsdA	P00926	442	0
cca	P06961	412	1
malT	P06993	901	0
tar	P07017	553	0
recC	P07648	1122	0
hemD	P09126	246	1
uhpB	P09835	500	0
hscB	P0A6L9	171	1
rsmG	P0A6U5	207	0
hslO	P0A6Y5	292	0
pyrG	P0A7E5	545	1
rpsT	P0A7U7	87	1
rpsC	P0A7V3	233	0
rpsI	P0A7X3	130	1
nrdR	P0A8D0	149	0
yacL	P0A8E5	120	0
slyB	P0A905	155	0
gapA	P0A9B2	331	1
