AT3G53690	Q9LFF2
AT3G19950	Q8LPN7
AT1G19480	Q0V7V4
AT5G65950	F4JXM9
AT5G49220	Q8VZK6
AT3G09180	Q8RWM3
AT1G72390	F4IDB2
AT2G39840	P48484
AT4G28980	O80345
AT1G56560	Q9FXA8
AT4G22750	Q94C49
AT1G80400	Q9C965
AT1G23980	Q8GW38
AT4G34040	O49500
AT2G15530	Q9ZQF9
AT1G30970	Q9C5G0
AT4G11970	F4JPV2
AT2G21150	Q8H110
AT2G35230	O82170
AT5G59710	Q9FPW4
AT4G05000	Q9S9T7
AT3G42050	Q9LX65
AT3G07020	Q9M8Z7
AT5G22030	Q9C585
AT1G04860	Q8W4N3
AT2G16920	Q9ZVX1
AT1G43690	Q8VYV0
AT2G30100	Q0WNN7
AT2G24640	Q9SJA1
AT5G08390	F4KB17
AT4G11270	Q9SUT4
AT3G05090	A0A384LLQ1
AT2G20330	A0A5S9WZJ1
AT2G19430	Q8L4M1
AT1G29220	Q9LP50
AT4G17020	Q680U9
AT5G63200	A0A178ULM2
AT5G19660	Q0WUG6
AT5G05130	Q9FF61
AT1G55300	B9DG24
AT2G36740	F4IP06
AT2G39760	O22286
AT2G45500	A0A1P8AX27
AT1G48360	Q5XVJ4
AT5G24710	F4KIH8
AT1G62930	Q9LQ14
AT2G36240	Q9SJN2
AT1G18700	Q8VYU5
AT2G24250	Q9ZUH0
AT1G51745	P59278
AT4G14310	F4JUQ2
AT5G12370	X5JA13
AT3G59950	Q9M1Y0
AT4G34660	Q8VWF1
AT2G07360	Q84R15
AT4G15180	O23372
AT4G15415	Q8RW96
AT2G28390	Q9SKN1
AT5G10070	A0A178UQA3
AT1G11650	Q9SAB3
AT2G17510	Q9SHL7
AT2G30710	A0A178VNP5
AT4G18600	Q5XPK0
AT4G34110	P42731
AT4G01810	Q84WV4
AT5G18190	Q9FK52
AT3G53030	F4J982
AT1G67580	Q9CAG1
AT1G54610	Q9ZVM9
AT4G16570	Q944R7
AT2G19560	Q8GWE6
AT3G01150	Q9MAC5
AT5G53180	Q9FGL9
AT2G22530	F4IJJ8
AT5G17250	F4KGY0
AT4G14920	C0SVH8
AT4G27910	Q9SUE7
AT1G47750	Q9FZF1
AT3G22920	Q9LIK6
AT2G41790	O22941
AT1G73400	Q9FX35
AT1G55630	Q7X6A5
AT2G02150	P0C894
AT2G47350	O22909
AT1G50670	Q9LPT6
AT1G13320	Q38951
AT1G25490	Q38845
AT1G61000	Q8RXJ0
AT1G17410	Q6NLG3
AT2G21600	O48671
AT3G20650	Q9LHQ7
AT5G56450	Q9FM86
AT5G48970	Q9FI73
AT4G26180	F4JU70
AT3G17310	Q8H1E8
AT4G26640	Q93WV0
AT5G08080	Q8VZU2
AT1G08960	O04034
AT1G63700	Q9CAD5
AT3G24350	Q9LK09
AT4G26570	Q8LEM7
AT1G51600	Q8H1G0
AT5G14850	Q94A15
AT4G04320	Q7Y1Z8
AT3G07400	Q9SRS6
AT5G37590	Q6NL09
AT1G55270	Q93W93
AT4G39560	Q67XN8
AT4G39240	Q9T031
AT2G05755	Q8S8A2
AT1G76340	Q9S845
AT1G26170	F4IE40
AT2G35320	O82162
AT2G32900	O48626
AT5G64813	Q9C5J9
AT3G63150	F4J0W4
AT1G08750	Q8GYI6
AT3G07180	Q8W4D7
AT5G19130	F4JZM3
AT1G18580	Q949Q1
AT1G16570	Q8L7M0
AT1G15280	Q8H1F3
AT5G18580	Q9FEE2
AT3G20620	Q8GYH4
AT5G21040	Q94AD8
AT3G21170	Q9LU43
AT5G65540	Q8GXR1
AT5G63220	Q6GKV1
AT5G63000	Q84K84
AT5G58100	F4KDI6
AT5G54440	F4K0C4
AT5G46850	Q9LUK5
AT5G46560	F4KHI7
AT5G41950	Q9FHY8
AT5G41270	Q84VV1
AT5G32470	F4KFT7
AT5G27970	A0A1P8BHC3
AT5G25270	A0A178UP71
AT5G20680	F4K5L5
AT5G16280	F4KCR0
AT5G11040	Q9FY61
AT4G38500	Q94AV6
AT4G35870	Q9SZT4
AT4G34310	F4JKN5
AT4G30900	F4JR41
AT4G24880	Q93ZD6
AT4G17060	O23550
